,subject,block,clf,nth_letter,correct,correct_sofar,auc,earliest_correct,first_valid,num_target_flashes,mandatory_target_flashes,sample_rate,ntime_features,letter_memory,lowpass,early_stop_sim,postfix_sim
179,1,3,toep_lda,20,True,20,0.9771634615384616,19,6,5,1,40,27,inf,8,False,False
180,1,3,slda,21,True,18,0.9230769230769231,14,6,4,1,40,27,inf,8,False,False
181,1,3,toep_lda,21,True,21,1.0,16,6,5,1,40,27,inf,8,False,False
182,1,3,slda,22,True,19,0.8112980769230769,15,9,3,0,40,27,inf,8,False,False
183,1,3,toep_lda,22,True,22,0.9855769230769231,10,9,1,0,40,27,inf,8,False,False
184,1,3,slda,23,True,20,0.8762019230769231,14,6,4,2,40,27,inf,8,False,False
185,1,3,toep_lda,23,True,23,0.9759615384615384,13,6,4,2,40,27,inf,8,False,False
186,1,3,slda,24,True,21,0.8581730769230769,38,7,8,1,40,27,inf,8,False,False
187,1,3,toep_lda,24,True,24,0.9915865384615384,16,7,4,1,40,27,inf,8,False,False
188,1,3,slda,25,True,22,0.8413461538461539,33,9,8,1,40,27,inf,8,False,False
189,1,3,toep_lda,25,True,25,0.9447115384615385,26,9,6,1,40,27,inf,8,False,False
190,1,3,slda,26,True,23,0.7944711538461537,19,6,5,2,40,27,inf,8,False,False
191,1,3,toep_lda,26,True,26,0.9759615384615384,12,6,3,2,40,27,inf,8,False,False
192,1,3,slda,27,True,24,0.8016826923076923,44,4,10,1,40,27,inf,8,False,False
193,1,3,toep_lda,27,True,27,0.9783653846153846,11,4,2,1,40,27,inf,8,False,False
194,1,3,slda,28,True,25,0.9050480769230769,11,3,3,1,40,27,inf,8,False,False
195,1,3,toep_lda,28,True,28,0.9963942307692307,11,3,3,1,40,27,inf,8,False,False
196,1,3,slda,29,True,26,0.8786057692307692,15,4,4,2,40,27,inf,8,False,False
197,1,3,toep_lda,29,True,29,0.9771634615384616,9,4,3,2,40,27,inf,8,False,False
198,1,3,slda,30,True,27,0.8834134615384616,34,6,8,2,40,27,inf,8,False,False
199,1,3,toep_lda,30,True,30,0.9927884615384615,9,6,2,2,40,27,inf,8,False,False
200,1,3,slda,31,True,28,0.9170673076923077,16,5,3,1,40,27,inf,8,False,False
201,1,3,toep_lda,31,True,31,0.9903846153846154,10,5,2,1,40,27,inf,8,False,False
202,1,3,slda,32,True,29,0.9026442307692308,17,5,4,1,40,27,inf,8,False,False
203,1,3,toep_lda,32,True,32,0.9963942307692307,18,5,4,1,40,27,inf,8,False,False
204,1,3,slda,33,True,30,0.9278846153846153,6,5,1,1,40,27,inf,8,False,False
205,1,3,toep_lda,33,True,33,1.0,6,5,1,1,40,27,inf,8,False,False
206,1,3,slda,34,True,31,0.8942307692307692,11,6,3,2,40,27,inf,8,False,False
207,1,3,toep_lda,34,True,34,0.9819711538461539,13,6,4,2,40,27,inf,8,False,False
208,1,3,slda,35,True,32,0.8966346153846154,11,5,2,1,40,27,inf,8,False,False
209,1,3,toep_lda,35,True,35,0.9867788461538461,11,5,2,1,40,27,inf,8,False,False
210,2,1,slda,1,False,0,0.7704326923076923,,4,,1,40,27,inf,8,False,False
211,2,1,toep_lda,1,True,1,0.84375,51,4,10,1,40,27,inf,8,False,False
212,2,1,slda,2,False,0,0.7055288461538461,,4,,1,40,27,inf,8,False,False
213,2,1,toep_lda,2,True,2,0.8545673076923077,27,4,7,1,40,27,inf,8,False,False
214,2,1,slda,3,True,1,0.7608173076923077,67,7,16,2,40,27,inf,8,False,False
215,2,1,toep_lda,3,True,3,0.8858173076923078,26,7,5,2,40,27,inf,8,False,False
216,2,1,slda,4,True,2,0.7692307692307693,60,9,14,1,40,27,inf,8,False,False
217,2,1,toep_lda,4,True,4,0.8870192307692307,27,9,6,1,40,27,inf,8,False,False
218,2,1,slda,5,True,3,0.7475961538461539,68,5,16,2,40,27,inf,8,False,False
219,2,1,toep_lda,5,True,5,0.9050480769230769,30,5,7,2,40,27,inf,8,False,False
220,2,1,slda,6,True,4,0.8004807692307693,67,6,16,1,40,27,inf,8,False,False
221,2,1,toep_lda,6,True,6,0.9495192307692307,10,6,2,1,40,27,inf,8,False,False
222,2,1,slda,7,False,4,0.766826923076923,,6,,1,40,27,inf,8,False,False
223,2,1,toep_lda,7,True,7,0.9519230769230769,15,6,3,1,40,27,inf,8,False,False
224,2,1,slda,8,True,5,0.8173076923076923,38,5,9,2,40,27,inf,8,False,False
225,2,1,toep_lda,8,True,8,0.985576923076923,13,5,3,2,40,27,inf,8,False,False
226,2,1,slda,9,True,6,0.7824519230769231,64,6,15,2,40,27,inf,8,False,False
227,2,1,toep_lda,9,True,9,0.984375,9,6,3,2,40,27,inf,8,False,False
228,2,1,slda,10,True,7,0.8509615384615384,32,5,8,2,40,27,inf,8,False,False
229,2,1,toep_lda,10,True,10,0.9771634615384615,18,5,4,2,40,27,inf,8,False,False
230,2,1,slda,11,True,8,0.9158653846153846,25,6,5,2,40,27,inf,8,False,False
231,2,1,toep_lda,11,True,11,0.9927884615384615,16,6,4,2,40,27,inf,8,False,False
232,2,1,slda,12,True,9,0.8076923076923078,45,10,11,1,40,27,inf,8,False,False
233,2,1,toep_lda,12,True,12,0.9507211538461539,13,10,2,1,40,27,inf,8,False,False
234,2,1,slda,13,True,10,0.8221153846153846,47,5,11,1,40,27,inf,8,False,False
