,subject,block,clf,nth_letter,correct,correct_sofar,auc,sample_rate,ntime_features,letter_memory,lowpass
216,1,2,slda,46,True,37,0.8509615384615384,100,66,inf,8
217,1,2,toep_lda,46,True,44,0.9579326923076923,100,66,inf,8
218,1,2,slda,47,True,38,0.8413461538461539,100,66,inf,8
219,1,2,toep_lda,47,True,45,0.955528846153846,100,66,inf,8
220,1,2,slda,48,True,39,0.8930288461538461,100,66,inf,8
221,1,2,toep_lda,48,True,46,0.9807692307692307,100,66,inf,8
222,1,2,slda,49,True,40,0.7980769230769231,100,66,inf,8
223,1,2,toep_lda,49,True,47,0.983173076923077,100,66,inf,8
224,1,2,slda,50,True,41,0.8930288461538461,100,66,inf,8
225,1,2,toep_lda,50,True,48,0.9735576923076924,100,66,inf,8
226,1,2,slda,51,True,42,0.8533653846153846,100,66,inf,8
227,1,2,toep_lda,51,True,49,0.9483173076923078,100,66,inf,8
228,1,2,slda,52,True,43,0.8353365384615384,100,66,inf,8
229,1,2,toep_lda,52,True,50,0.953125,100,66,inf,8
230,1,2,slda,53,True,44,0.9002403846153846,100,66,inf,8
231,1,2,toep_lda,53,True,51,0.985576923076923,100,66,inf,8
232,1,2,slda,54,True,45,0.8978365384615384,100,66,inf,8
233,1,2,toep_lda,54,True,52,0.9795673076923077,100,66,inf,8
234,1,2,slda,55,True,46,0.7884615384615384,100,66,inf,8
235,1,2,toep_lda,55,True,53,0.9747596153846154,100,66,inf,8
236,1,2,slda,56,True,47,0.828125,100,66,inf,8
237,1,2,toep_lda,56,True,54,0.9867788461538463,100,66,inf,8
238,1,2,slda,57,True,48,0.8353365384615384,100,66,inf,8
239,1,2,toep_lda,57,True,55,0.954326923076923,100,66,inf,8
240,1,2,slda,58,True,49,0.8509615384615384,100,66,inf,8
241,1,2,toep_lda,58,True,56,0.9795673076923076,100,66,inf,8
242,1,2,slda,59,True,50,0.8858173076923076,100,66,inf,8
243,1,2,toep_lda,59,True,57,0.9711538461538461,100,66,inf,8
244,1,2,slda,60,True,51,0.9807692307692307,100,66,inf,8
245,1,2,toep_lda,60,True,58,1.0,100,66,inf,8
246,1,2,slda,61,True,52,0.876201923076923,100,66,inf,8
247,1,2,toep_lda,61,True,59,0.984375,100,66,inf,8
248,1,2,slda,62,True,53,0.9206730769230769,100,66,inf,8
249,1,2,toep_lda,62,True,60,0.983173076923077,100,66,inf,8
250,1,2,slda,63,True,54,0.9723557692307692,100,66,inf,8
251,1,2,toep_lda,63,True,61,0.9987980769230769,100,66,inf,8
252,1,3,slda,1,False,0,0.7235576923076923,100,66,inf,8
253,1,3,toep_lda,1,True,1,0.7788461538461539,100,66,inf,8
254,1,3,slda,2,True,1,0.7608173076923077,100,66,inf,8
255,1,3,toep_lda,2,True,2,0.8269230769230769,100,66,inf,8
256,1,3,slda,3,False,1,0.7127403846153846,100,66,inf,8
257,1,3,toep_lda,3,False,2,0.75,100,66,inf,8
258,1,3,slda,4,True,2,0.8401442307692307,100,66,inf,8
259,1,3,toep_lda,4,True,3,0.8665865384615385,100,66,inf,8
260,1,3,slda,5,False,2,0.6538461538461539,100,66,inf,8
261,1,3,toep_lda,5,False,3,0.7596153846153846,100,66,inf,8
262,1,3,slda,6,False,2,0.7067307692307692,100,66,inf,8
263,1,3,toep_lda,6,True,4,0.7824519230769231,100,66,inf,8
264,1,3,slda,7,False,2,0.734375,100,66,inf,8
265,1,3,toep_lda,7,True,5,0.8389423076923076,100,66,inf,8
266,1,3,slda,8,True,3,0.7776442307692308,100,66,inf,8
267,1,3,toep_lda,8,True,6,0.9002403846153846,100,66,inf,8
268,1,3,slda,9,True,4,0.7692307692307693,100,66,inf,8
269,1,3,toep_lda,9,True,7,0.8677884615384616,100,66,inf,8
270,1,3,slda,10,True,5,0.7920673076923077,100,66,inf,8
271,1,3,toep_lda,10,True,8,0.8870192307692308,100,66,inf,8
272,1,3,slda,11,False,5,0.700721153846154,100,66,inf,8
273,1,3,toep_lda,11,True,9,0.7788461538461539,100,66,inf,8
274,1,3,slda,12,True,6,0.8389423076923077,100,66,inf,8
275,1,3,toep_lda,12,True,10,0.9170673076923077,100,66,inf,8
276,1,3,slda,13,True,7,0.776239907727797,100,66,inf,8
277,1,3,toep_lda,13,True,11,0.8823529411764706,100,66,inf,8
278,1,3,slda,14,False,7,0.7653846153846154,100,66,inf,8
279,1,3,toep_lda,14,True,12,0.7730769230769231,100,66,inf,8
280,1,3,slda,15,True,8,0.7860576923076923,100,66,inf,8
281,1,3,toep_lda,15,True,13,0.891826923076923,100,66,inf,8
282,1,3,slda,16,True,9,0.8161057692307693,100,66,inf,8
283,1,3,toep_lda,16,True,14,0.9723557692307692,100,66,inf,8
284,1,3,slda,17,True,10,0.84375,100,66,inf,8
285,1,3,toep_lda,17,True,15,0.9819711538461539,100,66,inf,8
286,1,3,slda,18,True,11,0.8629807692307693,100,66,inf,8
287,1,3,toep_lda,18,True,16,0.9471153846153846,100,66,inf,8
288,1,3,slda,19,True,12,0.8257211538461539,100,66,inf,8
289,1,3,toep_lda,19,True,17,0.953125,100,66,inf,8
290,1,3,slda,20,True,13,0.8221153846153846,100,66,inf,8
291,1,3,toep_lda,20,True,18,0.953125,100,66,inf,8
292,1,3,slda,21,True,14,0.8521634615384615,100,66,inf,8
293,1,3,toep_lda,21,True,19,0.9278846153846154,100,66,inf,8
294,1,3,slda,22,True,15,0.9110576923076923,100,66,inf,8
295,1,3,toep_lda,22,True,20,0.9939903846153846,100,66,inf,8
296,1,3,slda,23,True,16,0.8990384615384617,100,66,inf,8
297,1,3,toep_lda,23,True,21,0.983173076923077,100,66,inf,8
298,1,3,slda,24,True,17,0.7800480769230769,100,66,inf,8
299,1,3,toep_lda,24,True,22,0.9302884615384615,100,66,inf,8
300,1,3,slda,25,True,18,0.8774038461538461,100,66,inf,8
301,1,3,toep_lda,25,True,23,0.9375,100,66,inf,8
302,1,3,slda,26,True,19,0.8245192307692308,100,66,inf,8
303,1,3,toep_lda,26,True,24,0.951923076923077,100,66,inf,8
304,1,3,slda,27,True,20,0.8617788461538461,100,66,inf,8
305,1,3,toep_lda,27,True,25,0.8930288461538461,100,66,inf,8
306,1,3,slda,28,True,21,0.7944711538461539,100,66,inf,8
307,1,3,toep_lda,28,True,26,0.9098557692307692,100,66,inf,8
308,1,3,slda,29,True,22,0.8762019230769231,100,66,inf,8
309,1,3,toep_lda,29,True,27,0.9939903846153846,100,66,inf,8
310,1,3,slda,30,True,23,0.8305288461538461,100,66,inf,8
311,1,3,toep_lda,30,True,28,0.9447115384615384,100,66,inf,8
312,1,3,slda,31,True,24,0.8365384615384616,100,66,inf,8
313,1,3,toep_lda,31,True,29,0.9423076923076923,100,66,inf,8
314,1,3,slda,32,True,25,0.7776442307692307,100,66,inf,8
315,1,3,toep_lda,32,True,30,0.9338942307692308,100,66,inf,8
316,1,3,slda,33,True,26,0.8858173076923077,100,66,inf,8
317,1,3,toep_lda,33,True,31,0.9651442307692307,100,66,inf,8
318,1,3,slda,34,True,27,0.7860576923076923,100,66,inf,8
319,1,3,toep_lda,34,True,32,0.9543269230769231,100,66,inf,8
320,1,3,slda,35,True,28,0.8677884615384616,100,66,inf,8
321,1,3,toep_lda,35,True,33,0.96875,100,66,inf,8
322,1,3,slda,36,True,29,0.8557692307692307,100,66,inf,8
323,1,3,toep_lda,36,True,34,0.9615384615384615,100,66,inf,8
324,1,3,slda,37,True,30,0.8677884615384616,100,66,inf,8
325,1,3,toep_lda,37,True,35,0.9771634615384616,100,66,inf,8
326,1,3,slda,38,True,31,0.7920673076923077,100,66,inf,8
327,1,3,toep_lda,38,True,36,0.905048076923077,100,66,inf,8
328,1,3,slda,39,True,32,0.7992788461538461,100,66,inf,8
329,1,3,toep_lda,39,True,37,0.9747596153846154,100,66,inf,8
330,1,3,slda,40,True,33,0.7776442307692307,100,66,inf,8
331,1,3,toep_lda,40,True,38,0.9543269230769231,100,66,inf,8
332,1,3,slda,41,True,34,0.798076923076923,100,66,inf,8
333,1,3,toep_lda,41,True,39,0.9399038461538461,100,66,inf,8
334,1,3,slda,42,True,35,0.8100961538461537,100,66,inf,8
335,1,3,toep_lda,42,True,40,0.96875,100,66,inf,8
336,1,3,slda,43,True,36,0.7872596153846154,100,66,inf,8
337,1,3,toep_lda,43,True,41,0.9278846153846154,100,66,inf,8
338,1,3,slda,44,True,37,0.90625,100,66,inf,8
339,1,3,toep_lda,44,True,42,0.9483173076923077,100,66,inf,8
340,1,3,slda,45,True,38,0.8485576923076923,100,66,inf,8
341,1,3,toep_lda,45,True,43,0.9939903846153846,100,66,inf,8
342,1,3,slda,46,True,39,0.828125,100,66,inf,8
343,1,3,toep_lda,46,True,44,0.9555288461538461,100,66,inf,8
344,1,3,slda,47,True,40,0.7872596153846154,100,66,inf,8
345,1,3,toep_lda,47,True,45,0.9603365384615384,100,66,inf,8
346,1,3,slda,48,True,41,0.9375,100,66,inf,8
347,1,3,toep_lda,48,True,46,0.9927884615384616,100,66,inf,8
348,1,3,slda,49,True,42,0.7980769230769231,100,66,inf,8
349,1,3,toep_lda,49,True,47,0.983173076923077,100,66,inf,8
350,1,3,slda,50,True,43,0.9411057692307692,100,66,inf,8
351,1,3,toep_lda,50,True,48,0.9963942307692307,100,66,inf,8
352,1,3,slda,51,True,44,0.9146634615384615,100,66,inf,8
353,1,3,toep_lda,51,True,49,0.9879807692307692,100,66,inf,8
354,1,3,slda,52,True,45,0.9086538461538463,100,66,inf,8
355,1,3,toep_lda,52,True,50,1.0,100,66,inf,8
356,1,3,slda,53,True,46,0.9074519230769231,100,66,inf,8
357,1,3,toep_lda,53,True,51,1.0,100,66,inf,8
358,1,3,slda,54,True,47,0.8581730769230769,100,66,inf,8
359,1,3,toep_lda,54,True,52,0.984375,100,66,inf,8
360,1,3,slda,55,True,48,0.8713942307692307,100,66,inf,8
361,1,3,toep_lda,55,True,53,0.9927884615384616,100,66,inf,8
362,1,3,slda,56,True,49,0.9627403846153846,100,66,inf,8
363,1,3,toep_lda,56,True,54,0.985576923076923,100,66,inf,8
364,1,3,slda,57,True,50,0.8028846153846154,100,66,inf,8
365,1,3,toep_lda,57,True,55,0.9807692307692307,100,66,inf,8
366,1,3,slda,58,True,51,0.8341346153846153,100,66,inf,8
367,1,3,toep_lda,58,True,56,0.9831730769230769,100,66,inf,8
368,1,3,slda,59,True,52,0.8233173076923077,100,66,inf,8
369,1,3,toep_lda,59,True,57,0.96875,100,66,inf,8
370,1,3,slda,60,True,53,0.90625,100,66,inf,8
371,1,3,toep_lda,60,True,58,0.984375,100,66,inf,8
372,1,3,slda,61,True,54,0.9411057692307693,100,66,inf,8
373,1,3,toep_lda,61,True,59,0.9987980769230769,100,66,inf,8
374,1,3,slda,62,True,55,0.8317307692307692,100,66,inf,8
375,1,3,toep_lda,62,True,60,0.9747596153846154,100,66,inf,8
376,1,3,slda,63,True,56,0.9242788461538463,100,66,inf,8
377,1,3,toep_lda,63,True,61,0.9975961538461539,100,66,inf,8
378,2,1,slda,1,True,1,0.7932692307692307,100,66,inf,8
379,2,1,toep_lda,1,True,1,0.8461538461538461,100,66,inf,8
380,2,1,slda,2,False,1,0.6790865384615384,100,66,inf,8
381,2,1,toep_lda,2,True,2,0.8485576923076923,100,66,inf,8
382,2,1,slda,3,True,2,0.7752403846153846,100,66,inf,8
383,2,1,toep_lda,3,True,3,0.8990384615384615,100,66,inf,8
384,2,1,slda,4,False,2,0.731971153846154,100,66,inf,8
385,2,1,toep_lda,4,True,4,0.7860576923076924,100,66,inf,8
386,2,1,slda,5,True,3,0.7836538461538461,100,66,inf,8
387,2,1,toep_lda,5,True,5,0.9074519230769231,100,66,inf,8
388,2,1,slda,6,False,3,0.7391826923076923,100,66,inf,8
389,2,1,toep_lda,6,True,6,0.9110576923076923,100,66,inf,8
390,2,1,slda,7,False,3,0.78125,100,66,inf,8
391,2,1,toep_lda,7,True,7,0.9338942307692308,100,66,inf,8
392,2,1,slda,8,True,4,0.8076923076923077,100,66,inf,8
393,2,1,toep_lda,8,True,8,0.9555288461538461,100,66,inf,8
394,2,1,slda,9,True,5,0.8401442307692308,100,66,inf,8
395,2,1,toep_lda,9,True,9,0.9242788461538461,100,66,inf,8
396,2,1,slda,10,False,5,0.7427884615384616,100,66,inf,8
397,2,1,toep_lda,10,True,10,0.9230769230769231,100,66,inf,8
398,2,1,slda,11,True,6,0.7307692307692307,100,66,inf,8
399,2,1,toep_lda,11,True,11,0.9002403846153846,100,66,inf,8
400,2,1,slda,12,True,7,0.765625,100,66,inf,8
401,2,1,toep_lda,12,True,12,0.9423076923076923,100,66,inf,8
402,2,1,slda,13,True,8,0.7728365384615384,100,66,inf,8
403,2,1,toep_lda,13,True,13,0.938701923076923,100,66,inf,8
404,2,1,slda,14,False,8,0.7728365384615385,100,66,inf,8
405,2,1,toep_lda,14,True,14,0.9747596153846154,100,66,inf,8
